,symbol,period,open_time,open,high,low,close,volume,feat_ret_high,feat_ret_low,feat_ret_close,ma20,ma20_slope,feat_z_score_ma20_slope,ma50,ma50_slope,feat_z_score_ma50_slope,ma100,ma100_slope,feat_z_score_ma100_slope,ma200,ma200_slope,feat_z_score_ma200_slope,log_open,log1p_volume,feat_z_score_log_open,feat_z_score_log1p_volume,label_close_fast,label_close_slow
36,BTC/USDT,4h,1583064000000,8654.36,8762.24,8544.7,8565.69,43304.204,1.2465393165987937,-1.2671069842252858,-1.0245702744050456,8702.139,-0.0014537325435054482,-0.2297492116740453,9174.999,-0.0022456489532027835,-1.3485587033097526,9532.4266,-0.0017529698405074345,-1.84328908518278,9596.83035,-0.00025125941581471967,-2.167063240766303,9.065818519180063,10.67600499934693,-1.9665392680506986,1.2155581055262141,0.4252661162652375,2.4165908446754325
37,BTC/USDT,4h,1583078400000,8565.82,8587.72,8409.0,8548.53,44955.186,0.2556672916311564,-1.8307645969679487,-0.20184874302751066,8689.1655,-0.0014908403554574345,-0.23456827312255166,9153.1522,-0.002381122875326658,-1.4189314012777703,9515.2424,-0.0018027099206828767,-1.8532033396282646,9594.12335,-0.00028207229900656383,-2.1883461354852876,9.055535144646106,10.713421405881117,-2.0955334529520124,1.2711169029466083,1.6865805086839076,2.255673104468921
38,BTC/USDT,4h,1583092800000,8548.53,8600.0,8475.72,8537.84,21381.662,0.6020918216348203,-0.8517253843643435,-0.12505073971782465,8673.5005,-0.0018028198450126265,-0.3629949343888142,9131.1546,-0.0024032813526252417,-1.4106560596569944,9499.2615,-0.0016795052956295464,-1.7106651187097117,9591.66645,-0.0002560838453259384,-2.0800005061660833,9.053514617324618,9.970288917759792,-2.0774242729099486,-0.15168064694382807,2.606819126274899,2.421108642395767
39,BTC/USDT,4h,1583107200000,8537.84,8661.06,8504.95,8608.87,21085.732,1.4432221732897155,-0.38522623989204474,0.8319434423694982,8657.9735,-0.0017901653432774722,-0.3463520076572627,9109.823199999999,-0.0023361120180793726,-1.34275885356584,9482.5512,-0.0017591156954676057,-1.7517995589350628,9589.6115,-0.0002142432715641629,-1.9413665117463592,9.052263327390618,9.956351882201243,-2.0470345491386612,-0.1832432898358669,2.478423905204144,1.8744922730577194
40,BTC/USDT,4h,1583121600000,8608.87,8704.35,8600.32,8627.42,20955.806,1.1090886492652219,-0.09931617041494256,0.21547543405810998,8647.944500000001,-0.0011583542037866268,-0.048130727010873425,9089.1876,-0.0022652031271034323,-1.274825300540897,9466.2175,-0.0017225005861291054,-1.690935492743416,9585.7537,-0.0004022894983808367,-2.3250666362974655,9.060548346067696,9.950171022993372,-1.8628291603963472,-0.1995755636360611,2.8976957058082187,1.8034891556640142
41,BTC/USDT,4h,1583136000000,8627.41,8779.88,8622.73,8760.7,29251.336,1.767274303643851,-0.05424571221258612,1.5449596112854458,8643.874,-0.00047068988474674445,0.2771289346963723,9068.525599999999,-0.0022732504718023794,-1.2610604713056077,9450.3036,-0.001681125539319317,-1.6264336857910069,9582.7595,-0.00031235937138662795,-2.0678790504526723,9.062699623158837,10.283680526830597,-1.7881286119718907,0.44322359733764227,1.253261016074099,0.920512756051671
42,BTC/USDT,4h,1583150400000,8760.7,8900.0,8722.0,8828.53,42721.82,1.5900555891652512,-0.44174552261806443,0.774253198945285,8648.498,0.0005349453265977022,0.7444236002679666,9047.304800000002,-0.0023400496327646847,-1.286611968971306,9435.020700000001,-0.0016171861399244536,-1.5422827780009527,9580.0396,-0.00028383264757925186,-1.9567083698552004,9.078031089413708,10.66246507572285,-1.5032927626567787,1.183084003798385,-0.21085184790997413,0.27642640900446125
43,BTC/USDT,4h,1583164800000,8829.52,8925.32,8823.89,8885.64,25483.53,1.0849966929119548,-0.06376337558554601,0.6355951399396487,8663.103,0.0016887325406098608,1.2661640627734114,9028.1744,-0.0021144860732449366,-1.1127163850224309,9420.9814,-0.001487998855158934,-1.4026345137864185,9577.900450000001,-0.00022329239641127874,-1.7806825024631796,9.08585593198454,10.145787640121712,-1.3495415706051588,0.1906190762550633,-0.2660183815506857,0.681267685294787
44,BTC/USDT,4h,1583179200000,8885.64,8972.0,8854.54,8919.7,20796.26,0.9719052313620802,-0.35000292606945926,0.38331510166966787,8673.088,0.0011525893204780147,1.0141195517770571,9009.089399999999,-0.002113937896458973,-1.0950401272855048,9407.8171,-0.0013973384980889847,-1.3009011335806355,9576.03405,-0.00019486525358491935,-1.6823209408439188,9.092191769508394,9.94252844182976,-1.2250551215206285,-0.20209532194526936,-1.5054500691615011,0.2526302730697347
45,BTC/USDT,4h,1583193600000,8919.7,8922.34,8805.5,8870.58,19392.312,0.029597407984560675,-1.2803121181205745,-0.550691166743289,8687.307499999999,0.0016394967974495689,1.2261365768707024,8988.8608,-0.002245354563802926,-1.1673146382942268,9394.0526,-0.0014630917941632626,-1.3394188320727598,9573.38715,-0.0002764087915915203,-1.8218695426771525,9.096017592721482,9.872631977848524,-1.1441384736262932,-0.3379074714086999,-1.381669356546996,1.1899466832189378
